number,datetime,name,address,coordinates,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
11,2024-04-13 13:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",23.1,49,11.8,24.0,0,0.0,995.7,20,2
11,2024-04-13 11:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",20.1,59,11.9,20.7,0,0.0,996.5,20,0
11,2024-04-13 12:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",21.9,54,12.1,22.9,0,0.0,996.4,20,1
11,2024-04-13 13:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",23.1,49,11.8,24.0,0,0.0,995.7,20,0
11,2024-04-13 14:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",24.1,40,9.6,24.6,0,0.0,995.0,20,0
11,2024-04-13 15:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",24.5,38,9.2,23.9,0,0.0,994.2,20,2
11,2024-04-13 16:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",24.5,39,9.7,23.3,0,0.0,993.2,20,9
11,2024-04-13 17:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",24.9,36,8.8,22.9,0,0.0,992.2,20,9
11,2024-04-13 18:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",24.3,42,10.6,22.5,0,0.0,992.1,20,2
11,2024-04-13 19:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",22.8,46,10.5,21.1,0,0.0,991.6,20,0
11,2024-04-13 20:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",21.1,49,10.0,19.5,0,0.0,991.6,20,0
11,2024-04-13 21:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",19.5,52,9.4,18.2,0,0.0,991.5,20,5
11,2024-04-14 00:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",15.7,67,9.6,15.4,0,0.0,991.8,20,9
11,2024-04-14 00:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",14.9,74,10.3,14.8,0,0.0,991.9,20,6
11,2024-04-14 01:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",14.8,72,9.8,14.4,0,0.0,991.5,20,6
11,2024-04-14 03:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",11.8,83,9.0,11.2,0,0.0,990.4,20,5
11,2024-04-14 04:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",12.0,80,8.6,11.5,0,0.0,990.3,20,1
11,2024-04-14 05:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",11.6,79,8.1,10.8,0,0.0,989.9,20,1
11,2024-04-14 06:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",10.4,86,8.1,9.8,0,0.0,989.7,20,2
11,2024-04-14 08:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",11.3,88,9.4,10.8,0,0.0,989.4,20,0
11,2024-04-14 11:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",22.9,52,12.5,23.4,0,0.0,989.5,20,5
11,2024-04-14 14:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",28.7,32,10.4,27.9,0,0.0,987.7,20,2
11,2024-04-14 21:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",20.2,54,10.6,19.9,0,0.0,983.3,20,19
11,2024-04-15 00:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",15.6,69,9.9,14.9,0,0.0,983.2,20,20
11,2024-04-15 03:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",14.4,74,9.8,14.2,0,0.0,982.1,20,20
11,2024-04-15 04:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",13.3,74,8.8,12.7,0,0.0,981.2,20,18
11,2024-04-15 05:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",12.0,82,9.0,11.4,0,0.0,980.8,20,18
11,2024-04-15 06:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",11.8,79,8.3,11.0,0,0.0,979.7,20,17
11,2024-04-15 07:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",11.8,79,8.3,11.1,0,0.0,979.5,20,17
11,2024-04-15 08:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",13.2,75,8.8,12.3,0,0.0,978.8,20,20
11,2024-04-15 09:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",17.8,61,10.2,17.0,0,0.1,979.0,20,19
11,2024-04-15 10:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",21.9,46,9.8,20.5,0,0.1,978.7,20,19
11,2024-04-15 11:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",24.4,39,9.5,23.5,0,0.1,978.3,20,19
11,2024-04-15 12:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",26.0,36,9.8,26.0,0,0.1,978.1,20,19
11,2024-04-15 13:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",27.4,33,9.7,27.1,0,0.1,977.0,20,20
11,2024-04-15 14:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",26.9,31,8.4,24.4,0,0.1,976.6,20,19
11,2024-04-15 15:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",27.5,29,7.9,24.7,0,0.1,975.6,20,17
11,2024-04-15 16:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",26.9,31,8.4,24.1,0,0.1,974.8,20,19
11,2024-04-15 17:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",25.3,31,7.0,22.2,0,0.1,974.7,20,11
11,2024-04-15 18:00:00,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,"{'lat': 46.56056, 'lng': 15.652935}",23.4,35,7.0,19.9,0,0.1,973.4,20,10
