number,datetime,name,address,coordinates,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
12,2024-04-13 13:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",23.1,49,11.8,24.0,0,0.0,996.3,20,0
12,2024-04-13 11:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",20.1,59,11.9,20.7,0,0.0,997.0,20,0
12,2024-04-13 12:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",21.9,54,12.2,22.9,0,0.0,996.9,20,0
12,2024-04-13 13:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",23.1,49,11.8,24.0,0,0.0,996.3,20,0
12,2024-04-13 14:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",24.1,40,9.7,24.7,0,0.0,995.6,20,0
12,2024-04-13 15:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",24.5,38,9.3,24.0,0,0.0,994.8,20,2
12,2024-04-13 16:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",24.5,39,9.7,23.3,0,0.0,993.8,20,6
12,2024-04-13 17:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",24.9,36,8.8,22.9,0,0.0,992.8,20,6
12,2024-04-13 18:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",24.3,42,10.6,22.6,0,0.0,992.6,20,6
12,2024-04-13 19:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",22.8,46,10.6,21.2,0,0.0,992.2,20,2
12,2024-04-13 20:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",21.1,49,10.0,19.6,0,0.0,992.2,20,3
12,2024-04-13 21:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",19.5,52,9.4,18.3,0,0.0,992.1,20,3
12,2024-04-14 00:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",15.7,67,9.6,15.4,0,0.0,992.4,20,3
12,2024-04-14 00:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",14.9,74,10.4,14.9,0,0.0,992.5,20,4
12,2024-04-14 01:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",14.8,72,9.8,14.4,0,0.0,992.1,20,4
12,2024-04-14 03:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",11.8,83,9.1,11.2,0,0.0,991.0,20,4
12,2024-04-14 04:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",12.0,80,8.7,11.5,0,0.0,990.9,20,4
12,2024-04-14 05:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",11.6,79,8.1,10.9,0,0.0,990.5,20,4
12,2024-04-14 06:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",10.4,86,8.2,9.8,0,0.0,990.3,20,5
12,2024-04-14 08:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",11.3,88,9.4,10.8,0,0.0,990.0,20,8
12,2024-04-14 11:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",22.9,52,12.6,23.5,0,0.0,990.1,20,2
12,2024-04-14 14:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",28.7,32,10.4,27.9,0,0.0,988.2,20,2
12,2024-04-14 21:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",20.2,54,10.6,20.0,0,0.0,983.9,20,20
12,2024-04-15 00:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",15.6,69,10.0,14.9,0,0.0,983.8,20,19
12,2024-04-15 03:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",14.4,74,9.8,14.3,0,0.0,982.7,20,19
12,2024-04-15 04:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",13.3,74,8.8,12.8,0,0.0,981.8,20,17
12,2024-04-15 05:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",12.0,82,9.1,11.4,0,0.0,981.3,20,19
12,2024-04-15 06:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",11.8,79,8.3,11.1,0,0.0,980.3,20,18
12,2024-04-15 07:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",11.8,79,8.3,11.1,0,0.0,980.1,20,20
12,2024-04-15 08:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",13.2,75,8.9,12.4,0,0.0,979.3,20,20
12,2024-04-15 09:00:00,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",17.8,61,10.2,17.0,0,0.1,979.5,20,17
