number,datetime,name,address,coordinates,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
26,2024-04-13 13:00:00,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",22.5,54,12.7,23.4,0,0.0,994.9,20,6
26,2024-04-13 11:00:00,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",19.8,63,12.6,20.4,0,0.0,995.6,20,9
26,2024-04-13 12:00:00,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",21.4,60,13.3,22.5,0,0.0,995.6,20,10
26,2024-04-13 13:00:00,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",22.5,54,12.7,23.4,0,0.0,994.9,20,10
26,2024-04-13 14:00:00,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",23.3,47,11.4,23.8,0,0.0,994.2,20,13
26,2024-04-13 15:00:00,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",23.8,45,11.1,23.4,0,0.0,993.3,20,14
26,2024-04-13 16:00:00,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",24.1,43,10.8,23.1,0,0.0,992.4,20,14
26,2024-04-13 17:00:00,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",24.5,42,10.8,23.0,0,0.0,991.4,20,15
26,2024-04-13 18:00:00,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",23.9,46,11.6,22.7,0,0.0,991.2,20,16
26,2024-04-13 19:00:00,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",22.0,51,11.4,20.7,0,0.0,990.8,20,15
26,2024-04-13 20:00:00,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",21.4,47,9.6,19.7,0,0.0,990.9,20,15
26,2024-04-13 21:00:00,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",19.9,50,9.1,18.6,0,0.0,990.8,20,15
