number,datetime,name,address,coordinates,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
8,2024-04-13 13:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",23.0,49,11.7,23.9,0,0.0,995.3,20,4
8,2024-04-13 11:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",20.1,59,11.8,20.7,0,0.0,996.0,20,4
8,2024-04-13 12:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",21.8,54,12.1,22.9,0,0.0,995.9,20,5
8,2024-04-13 13:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",23.0,49,11.7,23.9,0,0.0,995.3,20,3
8,2024-04-13 14:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",24.0,40,9.6,24.6,0,0.0,994.6,20,0
8,2024-04-13 15:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",24.4,38,9.2,23.9,0,0.0,993.8,20,2
8,2024-04-13 16:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",24.5,39,9.6,23.2,0,0.0,992.8,20,4
8,2024-04-13 17:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",24.8,36,8.8,22.8,0,0.0,991.8,20,4
8,2024-04-13 18:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",24.3,42,10.6,22.5,0,0.0,991.6,20,3
8,2024-04-13 19:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",22.7,46,10.5,21.1,0,0.0,991.2,20,2
8,2024-04-13 20:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",21.1,49,10.0,19.5,0,0.0,991.2,20,1
8,2024-04-13 21:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",19.4,52,9.3,18.2,0,0.0,991.1,20,2
8,2024-04-14 00:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",15.6,67,9.5,15.4,0,0.0,991.3,20,2
8,2024-04-14 00:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",14.9,74,10.3,14.8,0,0.0,991.4,20,2
8,2024-04-14 01:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",14.7,72,9.7,14.4,0,0.0,991.0,20,3
8,2024-04-14 03:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",11.8,83,9.0,11.1,0,0.0,989.9,20,1
8,2024-04-14 04:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",11.9,80,8.6,11.5,0,0.0,989.9,20,1
8,2024-04-14 05:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",11.6,79,8.1,10.8,0,0.0,989.4,20,1
8,2024-04-14 06:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",10.3,86,8.1,9.7,0,0.0,989.2,20,1
8,2024-04-14 08:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",11.2,88,9.3,10.7,0,0.0,988.9,20,0
8,2024-04-14 11:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",22.9,52,12.5,23.4,0,0.0,989.0,20,1
8,2024-04-14 14:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",28.7,32,10.4,27.9,0,0.0,987.2,20,0
8,2024-04-14 21:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",20.2,54,10.6,19.9,0,0.0,982.8,20,8
8,2024-04-15 00:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",15.6,69,9.9,14.8,0,0.0,982.7,20,7
8,2024-04-15 03:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",14.3,74,9.8,14.2,0,0.0,981.6,20,8
8,2024-04-15 04:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",13.3,74,8.8,12.7,0,0.0,980.7,20,8
8,2024-04-15 05:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",12.0,82,9.0,11.3,0,0.0,980.3,20,6
8,2024-04-15 06:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",11.8,79,8.3,11.0,0,0.0,979.2,20,3
8,2024-04-15 07:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",11.8,79,8.3,11.1,0,0.0,979.0,20,3
8,2024-04-15 08:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",13.1,75,8.8,12.3,0,0.0,978.3,20,2
8,2024-04-15 09:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",17.8,61,10.2,16.9,0,0.1,978.5,20,1
8,2024-04-15 10:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",21.9,46,9.7,20.5,0,0.1,978.3,20,3
8,2024-04-15 11:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",24.3,39,9.5,23.4,0,0.1,977.9,20,6
8,2024-04-15 12:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",26.0,36,9.8,26.0,0,0.1,977.6,20,8
8,2024-04-15 13:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",27.4,33,9.7,27.1,0,0.1,976.5,20,3
8,2024-04-15 14:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",26.9,31,8.3,24.4,0,0.1,976.2,20,11
8,2024-04-15 15:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",27.4,29,7.8,24.7,0,0.1,975.2,20,9
8,2024-04-15 16:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",26.9,31,8.3,24.0,0,0.1,974.3,20,14
8,2024-04-15 17:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",25.3,31,6.9,22.2,0,0.1,974.3,20,17
8,2024-04-15 18:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",23.3,35,7.0,19.8,0,0.1,972.9,20,19
8,2024-04-15 19:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",22.0,39,7.4,18.4,0,0.1,972.8,20,19
8,2024-04-15 20:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",21.1,41,7.4,18.1,0,0.1,972.2,20,17
8,2024-04-15 21:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",20.2,38,5.5,17.6,0,0.1,972.0,20,18
8,2024-04-16 00:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",15.6,61,8.1,14.1,0,0.1,970.8,20,19
8,2024-04-16 00:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",19.1,45,6.9,17.3,0,0.1,970.9,20,19
8,2024-04-16 01:00:00,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",15.3,62,8.1,13.9,0,0.1,970.8,20,19
