number,datetime,name,address,coordinates,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
1,2024-04-13 13:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",23.1,50,12.2,24.0,0,0.0,995.3,22,22
1,2024-04-13 11:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",20.4,58,11.8,20.5,0,0.0,995.9,22,22
1,2024-04-13 12:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",22.0,55,12.5,22.7,0,0.0,995.9,22,21
1,2024-04-13 13:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",23.1,50,12.2,24.0,0,0.0,995.3,22,22
1,2024-04-13 14:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",24.0,44,11.0,24.4,0,0.0,994.5,22,22
1,2024-04-13 15:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",24.4,42,10.7,23.9,0,0.0,993.7,22,18
1,2024-04-13 16:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",24.6,41,10.5,23.5,0,0.0,992.7,22,16
1,2024-04-13 17:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",25.0,38,9.7,23.1,0,0.0,991.6,22,21
1,2024-04-13 18:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",24.5,43,11.1,23.0,0,0.0,991.4,22,22
1,2024-04-13 19:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",22.8,48,11.2,21.5,0,0.0,991.1,22,18
1,2024-04-13 20:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",21.5,48,10.0,20.8,0,0.0,991.0,22,9
1,2024-04-13 21:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",18.5,60,10.6,18.3,0,0.0,991.0,22,3
1,2024-04-14 00:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",14.9,64,8.2,14.2,0,0.0,991.3,22,3
1,2024-04-14 00:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",13.9,70,8.5,13.2,0,0.0,991.3,22,1
1,2024-04-14 01:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",13.2,75,8.9,12.6,0,0.0,991.0,22,3
1,2024-04-14 03:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",11.8,76,7.7,10.6,0,0.0,989.8,22,8
1,2024-04-14 04:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",11.8,73,7.1,10.6,0,0.0,989.7,22,11
1,2024-04-14 05:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",10.4,78,6.7,9.1,0,0.0,989.3,22,10
1,2024-04-14 06:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",10.1,77,6.3,9.0,0,0.0,989.1,22,12
1,2024-04-14 08:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",11.9,82,8.9,10.9,0,0.0,988.8,22,16
1,2024-04-14 11:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",22.8,51,12.1,23.5,0,0.0,989.1,22,16
1,2024-04-14 14:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",29.5,33,11.5,30.0,0,0.0,987.1,22,10
1,2024-04-14 21:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",19.0,42,5.8,17.2,0,0.0,982.6,22,0
1,2024-04-15 00:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",15.1,60,7.4,13.8,0,0.0,982.7,22,0
1,2024-04-15 03:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",12.9,75,8.6,12.1,0,0.0,981.5,22,0
1,2024-04-15 04:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",12.6,78,8.9,12.0,0,0.0,980.5,22,1
1,2024-04-15 05:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",13.4,70,8.0,12.6,0,0.0,980.1,22,5
1,2024-04-15 06:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",13.2,66,7.0,12.3,0,0.1,979.0,22,22
1,2024-04-15 07:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",13.4,65,7.0,12.4,0,0.1,978.9,22,16
1,2024-04-15 08:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",15.6,63,8.6,14.9,0,0.1,978.2,22,17
1,2024-04-15 09:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",18.5,57,9.8,17.5,0,0.1,978.5,22,20
1,2024-04-15 10:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",22.4,48,10.8,21.4,0,0.1,978.2,22,20
1,2024-04-15 11:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",24.7,41,10.6,25.0,0,0.1,977.9,22,16
1,2024-04-15 12:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",26.8,36,10.4,27.7,0,0.1,977.6,22,20
1,2024-04-15 13:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",27.8,34,10.5,28.1,0,0.1,976.7,22,20
1,2024-04-15 14:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",27.6,30,8.5,25.9,0,0.1,976.1,22,14
1,2024-04-15 15:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",28.0,27,7.2,25.4,0,0.1,975.1,22,8
1,2024-04-15 16:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",26.9,31,8.3,24.3,0,0.1,974.3,22,1
1,2024-04-15 17:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",25.5,30,6.6,22.6,0,0.1,974.1,22,12
1,2024-04-15 18:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",23.5,34,6.8,20.5,0,0.1,972.7,22,2
1,2024-04-15 19:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",22.2,37,6.8,18.7,0,0.1,972.5,22,9
1,2024-04-15 20:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",21.5,34,4.9,17.6,0,0.1,971.9,22,7
1,2024-04-15 21:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",20.8,36,5.2,17.0,0,0.1,971.7,22,2
1,2024-04-16 00:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",16.4,58,8.1,15.0,0,0.1,970.6,22,6
1,2024-04-16 00:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",19.6,43,6.7,16.9,0,0.1,970.7,22,8
1,2024-04-16 01:00:00,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,"{'lat': 46.562695, 'lng': 15.62935}",16.5,57,8.0,14.8,0,0.1,970.6,22,10
